Epoch,Error,w1,w2,w3
0,25821282286.70868,283.9156722968183,48.23749559928855,0
1,13645434716.584326,484.6414161648647,83.23708262061186,0
2,7558479475.55024,626.5102948047708,108.86893376253694,0
3,4516813465.135189,726.7380383729321,127.87121430452672,0
4,2997689415.7123623,797.5048379800639,142.1811901461599,0
5,2239416092.5080137,847.42822252619,153.16948795065363,0
6,1861098600.671001,882.6051244249869,161.80583504949942,0
7,1672342070.8817403,907.3491448985197,168.77632102856708,0
8,1578029776.4523613,924.7121718580702,174.56636072730782,0
9,1530682048.8192544,936.8534264543327,179.51939086282522,0
10,1506625408.0145717,945.3005648555869,183.87839810517153,0
11,1494075311.212018,951.1344087065722,187.81530034186633,0
12,1487178978.5565848,955.1196426008506,191.45173402955496,0
13,1483039195.1561918,957.7972830184447,194.8737613210239,0
14,1480228578.609013,959.5501004359443,198.1422754111396,0
15,1478048721.675731,960.6489057076471,201.30036235700982,0
16,1476161349.6312668,961.2852978487659,204.3785095925743,0
17,1474405101.5407777,961.5948332112973,207.3982909716629,0
18,1472704810.6493738,961.6734177603216,210.3749739493966,0
19,1471026792.5799394,961.5889046691725,213.31936417254033,0
20,1469356956.4684172,961.3892996602513,216.2391105339131,0
21,1467690194.7660375,961.1085663135306,219.13962850315332,0
22,1466025316.1737885,960.7707333434583,222.02475338661498,0
23,1464362681.0583005,960.3928005123211,224.89720251114107,0
24,1462703138.790319,959.9867945745272,227.75890222078408,0
25,1461047580.981637,959.5612238646725,230.6112192281941,0
26,1459396777.81448,959.122107423889,233.45512429658564,0
27,1457751338.3311007,958.6737031104831,236.29130804534304,0
28,1456111720.279066,958.2190227408588,239.12026288292557,0
29,1454478255.9655266,957.7601965535964,241.9423409747134,0
30,1452851179.9314744,957.2987310691101,244.75779525548705,0
31,1451230653.1764545,956.8356915262929,247.56680844592404,0
32,1449616782.5865219,956.3718309571037,250.36951358189208,0
33,1448009635.7996957,955.9076815073067,253.16600853901707,0
34,1446409252.2658963,955.4436190462214,255.95636630888467,0
35,1444815651.3306584,954.979908878355,258.7406422695077,0
36,1443228838.0748653,954.5167380845459,261.5188793292258,0
37,1441648807.500256,954.0542384034364,264.2911115660493,0
38,1440075547.5130944,953.5925024201972,267.0573668025266,0
39,1438509041.0431073,953.1315950201027,269.8176684274886,0
40,1436949267.544322,952.671561491979,272.57203668495697,0
41,1435396204.056103,952.2124332614148,275.32048958606777,0
42,1433849825.95224,951.7542319470313,278.06304355427847,0
43,1432310107.4692788,951.2969722303001,280.79971388187107,0
44,1430777022.078839,950.8406638859523,283.5305150529461,0
45,1429250542.7498477,950.3853132184923,286.2554609719595,0
