Epoch,Error,w1,w2
0,16598698993.377804,11145.279792861982,4518.600148500552
1,3217280919.1699862,11054.416804166567,5474.173444517463
2,3039249984.3940644,10967.240365110276,6390.976434751485
3,2875611991.5653615,10883.60091973979,7270.582145276801
4,2725212980.8976583,10803.35496225849,8114.499774506235
5,2586991134.660272,10726.36480930414,8924.177288421972
6,2459969427.4431195,10652.498363716324,9701.003904947764
7,2343248869.8600698,10581.628887888523,10446.31247752313
8,2236002289.9971848,10513.63478631588,11161.381781969258
9,2137468609.8302073,10448.399396965695,11847.43871057027
10,2046947577.2371686,10385.810791112523,12505.6603771345
11,1963794917.3633428,10325.761581294591,13137.17613664746
12,1887417869.97791,10268.14873706194,13743.06952298179
13,1817271082.1147811,10212.87340820016,14324.380107988893
14,1752852827.732135,10159.840755126488,14882.105285161959
15,1693701528.3731363,10108.959786167165,15417.201980930742
16,1639392550.8794985,10060.143201436944,15930.588296524353
17,1589535260.1141675,10013.307243052815,16423.145083218973
18,1543770306.4026606,9968.371551425007,16895.717453673402
19,1501767129.0163136,9925.259027378665,17349.11623194536
20,1463221658.5062282,9883.89569986962,17784.119344676736
21,1427854202.0639791,9844.210599067319,18201.47315583428
22,1395407497.3438532,9806.13563458715,18601.893747296315
23,1365644921.339794,9769.605478663183,18986.068147482376
24,1338348841.9767878,9734.557454060974,19354.655510133805
25,1313319101.0578709,9700.931426538022,19708.288245267995
26,1290371618.1116054,9668.669701667424,20047.573104246596
27,1269337105.5164769,9637.716925847692,20373.092220819482
28,1250059886.0442717,9608.019991328862,20685.404109930558
29,1232396804.6691413,9579.527945091979,20985.044625999264
30,1216216227.1376753,9552.191901425591,21272.52788232188
31,1201397118.392385,9525.964958049255,21548.347133170126
32,1187828194.4905355,9500.802115640156,21812.975620100562
33,1175407142.166137,9476.660200624758,22066.86738392681
34,1164039900.6485312,9453.497791103013,22310.458043747745
35,1153640000.7795837,9431.27514577803,22544.16554436838
36,1144127956.8660216,9409.954135769278,22768.390873395772
37,1135430707.06659,9389.498179192307,22983.518749240244
38,1127481098.447894,9369.872178392758,23189.918281202594
39,1120217413.1505456,9351.04245972697,23387.943602779582
40,1113582932.3903184,9332.97671578586,23577.934479274507
41,1107525535.279776,9315.64394996293,23760.21689075528
42,1101997329.6956873,9299.01442327132,23935.103591360272
43,1096954312.6384518,9283.059603318625,24102.894645911492
44,1092356057.7329867,9267.75211535198,24263.87794475594
45,1088165427.707673,9253.06569528934,24418.32969771829
46,1084348309.8601387,9238.975144656457,24566.514908012658
